SOURCE_FEA,EVENTTYPE,STATION_NM,STATE,LON_SITE,LAT_SITE
14361500,StreamGage,"ROGUE RIVER AT GRANTS PASS, OR",OR,-123.31783647,42.43039607
14344500,StreamGage,N F LTL BUTE CR AB INTKE CANL LKECREEK OREG,OR,-122.60114335,42.42762978
10378500,StreamGage,"HONEY CREEK NEAR PLUSH,OREG.",OR,-119.9232849,42.42488264
14341500,StreamGage,"SOUTH FORK LITTLE BUTTE CR NR LAKECREEK,OREG.",OR,-122.60114305,42.40818566
14343000,StreamGage,"NO FK LITTLE BUTTE CR NR LAKECREEK,OREG.",OR,-122.53725199,42.40263141
13092500,StreamGage,MCMULLEN CREEK NR ROCK CREEK ID,ID,-114.369275,42.396475
10378000,StreamGage,"TWELVEMILE CREEK NEAR PLUSH,OREG.",OR,-120.01773009,42.38321664
10376500,StreamGage,"FISH CREEK NEAR PLUSH,OREG.",OR,-119.90106144,42.38321701
14378000,StreamGage,"ILLINOIS R NR SELMA, OREG.",OR,-123.81229798,42.37899944
14342500,StreamGage,"NO FK LITTLE BUTTE CR AT F L NR LAKECREEK,OREG.",OR,-122.35669135,42.37624533
13088400,StreamGage,DRY CREEK NR ARTESIAN CITY ID,ID,-114.18724848,42.37213588
14328000,StreamGage,"ROGUE RIVER ABOVE PROSPECT, OREG.",OR,-122.49975854,42.77484917
14337830,StreamGage,"ELK CREEK BELOW ALCO CREEK, NEAR TRAIL, OR",OR,-122.71143129,42.73040316
13094000,StreamGage,SNAKE RIVER NR BUHL ID,ID,-114.71222222,42.66583333
14370000,StreamGage,"SLATE CREEK AT WONDER, OREG.",OR,-123.52062057,42.36094821
13092000,StreamGage,ROCK CREEK NR ROCK CREEK ID,ID,-114.30419587,42.35630256
14335000,StreamGage,ROGUE R BL S FK ROGUE R NR PROSPECT OREG.,OR,-122.59559337,42.69984909
10382500,StreamGage,"CHEWAUCAN RIVER AT DAMSITE NEAR PAISLEY,OREG.",OR,-120.58441319,42.46654319
14369500,StreamGage,"APPLEGATE RIVER NEAR WILDERVILLE, OR",OR,-123.40672758,42.35400581
13074000,StreamGage,BIRCH CREEK NR DOWNEY ID,ID,-112.25097222,42.35067778
14339500,StreamGage,S FK LITTLE BUTTE CR BIG ELK RNGR STA. OREG,OR,-122.3594687,42.34430151
14358495,StreamGage,"UNNAMED TRIB TO BEAR CR AT SAGE RD NR MEDFORD,OR",OR,-122.89837383,42.34290366
13079600,StreamGage,SUBLETT CREEK AT SUBLETT CAMPGROUND NR SUBLETT ID,ID,-113.0044345,42.3265819
14357500,StreamGage,"BEAR CREEK AT MEDFORD, OR",OR,-122.86670572,42.32401547
13088510,StreamGage,COTTONWOOD CREEK NR OAKLEY ID,ID,-114.02251995,42.29407878
13088500,StreamGage,BIG COTTONWOOD CREEK NR OAKLEY ID,ID,-114.03696433,42.28046776
13079200,StreamGage,CASSIA CREEK NR ELBA ID,ID,-113.5152842,42.27602376
13079500,StreamGage,CASSIA CREEK NR CONANT ID,ID,-113.45706389,42.27360833
13164000,StreamGage,MARYS CREEK AT TINDALL ID,ID,-115.89418611,42.26716389
14368500,StreamGage,"POWELL CREEK NEAR WILLIAMS, OREG.",OR,-123.29561139,42.26650816
14377500,StreamGage,"DEER CREEK NEAR DRYDEN, OREG.",OR,-123.45117289,42.26372745
13079100,StreamGage,CASSIA CREEK AB STINSON CREEK NR ELBA ID,ID,-113.65596667,42.25254444
13107000,StreamGage,CEDAR CREEK NR ROSEWORTH ID,ID,-114.86493056,42.247025
14366000,StreamGage,"APPLEGATE RIVER NEAR APPLEGATE, OR",OR,-123.14004848,42.2415113
10369500,StreamGage,"MUD CREEK NEAR PLUSH,OREG.",OR,-120.16773241,42.23321761
14372000,StreamGage,"GRAVE CREEK NEAR PLACER, OREG.",OR,-123.34284001,42.62761836
14377100,StreamGage,"ILLINOIS RIVER NEAR KERBY, OR",OR,-123.66368005,42.23177936
13106700,StreamGage,CEDAR CREEK RES NR ROSEWORTH ID,ID,-114.88016389,42.22376389
13106000,StreamGage,SALMON RIVER CANAL CO CANAL NR ROGERSON ID,ID,-114.73775278,42.22081944
10370000,StreamGage,"CAMAS CREEK NEAR LAKEVIEW,OREG.",OR,-120.10245239,42.21627435
14354200,StreamGage,"BEAR CREEK BLW ASHLAND CREEK AT ASHLAND, OR",OR,-122.72225504,42.21596411
10369000,StreamGage,"CAMAS CREEK NEAR PLUSH,OREG.",OR,-120.16773225,42.21655123
13106500,StreamGage,SALMON RIVER CANAL CO RES NR ROGERSON ID,ID,-114.73331667,42.212275
13084000,StreamGage,GOOSE CREEK NR OAKLEY ID,ID,-113.91056389,42.203225
13105500,StreamGage,SALMON FALLS CREEK NR TWIN FALLS ID,ID,-114.74038611,42.20291667
10371000,StreamGage,"DRAKE CREEK NEAR ADEL,OREG.",OR,-120.01244939,42.19988691
13170000,StreamGage,LITTLE JACKS CREEK NR BRUNEAU ID,ID,-116.00092625,42.83322781
13084500,StreamGage,BIRCH CREEK NR OAKLEY ID,ID,-113.83140244,42.19713458
14377000,StreamGage,"ILLINOIS RIVER AT KERBY, OREG.",OR,-123.65673517,42.19705748
10370500,StreamGage,"CRANE CREEK NEAR LAKEVIEW,OREG.     (DUPLICATE1)",OR,-120.1010633,42.19988574
13083500,StreamGage,OAKLEY RESERVOIR NR OAKLEY ID,ID,-113.915,42.19527778
13106600,StreamGage,CEDAR CREEK AB RES NR ROSEWORTH ID,ID,-114.91201944,42.18949444
10371500,StreamGage,"DEEP CREEK ABOVE ADEL,OREG.",OR,-120.00161563,42.18905386
13084400,StreamGage,BIRCH CREEK AB FEEDER CANAL NR OAKLEY ID,ID,-113.81894722,42.17770556
14363000,StreamGage,"APPLEGATE RIVER NEAR RUCH, OREG.",OR,-123.04837732,42.17206942
10374500,StreamGage,"DEEP CREEK AT ADEL, OREG.",OR,-119.90105754,42.16655481
13167000,StreamGage,EF BRUNEAU RIVER BL THREE CREEK NR THREE CREEK ID,ID,-115.21408889,42.16724167
13083000,StreamGage,TRAPPER CREEK NR OAKLEY ID,ID,-113.98361111,42.16583333
14349500,StreamGage,"EAST LATERAL NEAR ASHLAND,OREG.",OR,-122.6039177,42.1637453
14350000,StreamGage,"EMIGRANT CR NR ASHLAND,OREG.",OR,-122.60530663,42.16374528
13106650,StreamGage,HOUSE CREEK NR ROSEWORTH ID,ID,-114.98677222,42.16278889
14375100,StreamGage,"SUCKER CR BL LT GRAYBACK CR NR HOLLAND,OREG.",OR,-123.47895094,42.15956105
10406500,StreamGage,"TROUT CREEK NEAR DENIO,NEV.",OR,-118.45933743,42.15545066
14362250,StreamGage,"STAR GULCH NEAR RUCH, OR.",OR,-123.07532304,42.15401355
14353500,StreamGage,"EAST FORK ASHLAND CREEK NEAR ASHLAND, OR",OR,-122.70947643,42.15263231
13163000,StreamGage,SHEEP CREEK NR TINDALL ID,ID,-115.77961667,42.14985
14375000,StreamGage,"SUCKER CREEK NEAR HOLLAND, OREG.",OR,-123.46783935,42.14983913
13162000,StreamGage,BRUNEAU RIVER NR TINDALL ID,ID,-115.67045833,42.14561944
13076400,StreamGage,MICHAUD CANAL AT AMERICAN FALLS ID,ID,-112.87274444,42.77782778
14353000,StreamGage,"WEST FORK ASHLAND CREEK NEAR ASHLAND, OR",OR,-122.71669885,42.14874336
10368500,StreamGage,"DEEP CR AT BIG VLY NR LAKEVIEW,OREG.",OR,-120.13439705,42.13321974
14308500,StreamGage,"ELK CREEK NR DREW, OR",OR,-122.91783026,42.89012159
14308990,StreamGage,"COW CREEK ABV GALESVILLE RES, NR AZALEA, OR.",OR,-123.12589217,42.82317665
13082500,StreamGage,GOOSE CREEK AB TRAPPER CREEK NR OAKLEY ID,ID,-113.93555556,42.12611111
14400000,StreamGage,"CHETCO RIVER NEAR BROOKINGS, OR",OR,-124.1873107,42.12344278
13166500,StreamGage,DEADWOOD CREEK NR THREE CREEK ID,ID,-115.09801389,42.11798056
13107500,StreamGage,DEVIL CREEK NR THREE CREEK ID,ID,-115.03527778,42.11370556
14373500,StreamGage,"ALTHOUSE CREEK NEAR HOLLAND,OREG.",OR,-123.52617438,42.09983838
13165500,StreamGage,THREE CREEK NR THREE CREEK ID,ID,-115.16176944,42.08670556
10366000,StreamGage,"TWENTYMILE CREEK NEAR ADEL,OREG.",OR,-119.96272481,42.07211128
13166000,StreamGage,CHERRY CREEK NR THREE CREEK ID,ID,-115.1899,42.07213333
13078205,StreamGage,RAFT RIVER BL ONEMILE CREEK NR MALTA ID,ID,-113.44456111,42.07043056
10366500,StreamGage,"DEEP CR AB DISMAL CR NR WARNER LAKE,OREG.",OR,-120.15106357,42.06655402
14372500,StreamGage,"E F ILLINOIS RIVER NEAR TAKILMA,OREG.",OR,-123.62617776,42.06928109
10367500,StreamGage,"DISMAL CREEK NEAR WARNER LAKE,OREG.",OR,-120.13439641,42.06655418
13078000,StreamGage,RAFT RIVER AB ONEMILE CREEK NR MALTA ID,ID,-113.45138889,42.06361111
14362000,StreamGage,"APPLEGATE RIVER NEAR COPPER, OR",OR,-123.11143576,42.0637361
14376500,StreamGage,"W FK ILLINOIS R NR OBRIEN,OREG.",OR,-123.71784771,42.06372377
14361900,StreamGage,"APPLEGATE LAKE NEAR COPPER, OR.",OR,-123.10949121,42.05679178
13165000,StreamGage,BIG FLAT CREEK NR THREE CREEK ID,ID,-115.21754722,42.04955833
14375500,StreamGage,"W FK ILLINOIS R BL ROCK CR NR OBRIEN,OREG.",OR,-123.74840426,42.0387233
13162500,StreamGage,EF JARBIDGE RIVER NR THREE CREEK ID,ID,-115.36860833,42.032775
14375400,StreamGage,"ELK CREEK NEAR OBRIEN,OREG.",OR,-123.73784829,42.03150132
14361700,StreamGage,"CARBERRY CREEK NEAR COPPER, OREG.",OR,-123.17060512,42.02595759
14361590,StreamGage,"MIDDLE FORK APPLEGATE RIVER NEAR COPPER, OR.",CA,-123.15754893,42.00623585
